quarter,status,accessions,dates,n_tickers_avg,coverage_ratio,total_value,mapped_value
2019q4,ok,1,1,428.0,0.9172960843222567,495109310999.28,454161832291.13
2020q1,ok,1,1,437.0,0.9377357156736535,535926952862.77,502557844691.57
2020q2,ok,1,1,452.0,0.9445693654650686,446204074674.69,421470699683.4
2020q3,ok,1,1,458.0,0.9575377528508009,536044760916.7399,513283095795.66
2020q4,ok,1,1,456.0,0.9594580599785748,575710696437.2,552370267912.55
2021q1,ok,1,1,460.0,0.9582016582540457,638318258905.39,611637614176.98
2021q2,ok,1,1,466.0,0.956848474241544,693491186218.5,663565983433.1301
2021q3,ok,1,1,469.0,0.9616971290897705,757368747611.62,728359350240.4099
2021q4,ok,1,1,476.0,0.968354501995753,770197602103.75,745824315423.5
2022q1,ok,1,1,474.0,0.9688298665210335,858136354279.64,831388129573.59
2022q2,ok,1,1,477.0,0.9718500704349736,841795875955.96,818099381339.67
2022q3,ok,1,1,478.0,0.9724930467287801,709569750104.66,690051648145.86
2022q4,ok,1,1,479.0,0.9724874583927113,686618206173.49,667727594207.82
2023q1,ok,1,1,486.0,0.9778949784011767,744033006755.15,727586141070.59
2023q2,ok,1,1,487.0,0.9830764264638278,802678741584.65,789094548875.52
2023q3,ok,1,1,487.0,0.9829193146005671,887144728345.81,871991688337.1699
2023q4,ok,1,1,487.0,0.9820408346373555,866162800296.71,850607239335.2101
2024q1,ok,1,1,489.0,0.9852146292118689,979700367557.1001,965215134361.5
2024q2,ok,1,1,490.0,0.98617640036745,1111476380534.8699,1096111776049.3201
2024q3,ok,1,1,493.0,0.9873774817142422,1178378022286.0,1163503924152.16
2024q4,ok,1,1,494.0,0.989671123550296,1276342730919.94,1263159544544.79
2025q1,ok,1,1,501.0,0.9991781131058112,1348703070504.6501,1347594589126.85
2025q2,ok,1,1,502.0,0.9979023774205011,1322811837105.0898,1320037077127.15
2025q3,ok,1,1,501.0,0.9977730191778512,1491454154456.98,1488132714657.8901
2025q4,ok,1,1,500.0,0.9968883937042275,1408776213380.79,1404392656445.9
