start_date,end_date,ticker
1996-01-02,1997-01-15,AAL
1996-01-02,2003-03-14,AAMRQ
1996-01-02,,AAPL
1996-01-02,2008-11-24,ABI
1996-01-02,2006-06-02,ABS
1996-01-02,,ABT
1996-01-02,2002-07-22,ABX
1996-01-02,2000-11-17,ACKH
1996-01-02,2006-11-17,ACV
1996-01-02,,ADM
1996-01-02,,ADP
1996-01-02,,ADSK
1996-01-02,,AEE
1996-01-02,,AEP
1996-01-02,2018-11-29,AET
1996-01-02,2001-08-29,AGC
1996-01-02,2020-05-12,AGN
1996-01-02,1998-10-01,AHM
1996-01-02,,AIG
1996-01-02,1999-10-11,AIT
1996-01-02,2002-07-22,AL
1996-01-02,,ALL
1996-01-02,2004-05-03,AM
1996-01-02,,AMAT
1996-01-02,2013-09-23,AMD
1996-01-02,,AMGN
1996-01-02,1997-09-15,AMH
1996-01-02,1999-04-05,AMP
1996-01-02,1999-01-04,AN
1996-01-02,2006-10-02,ANDW
1996-01-02,1999-04-12,ANV
1996-01-02,,APD
1996-01-02,1999-10-27,AR
1996-01-02,2000-04-18,ARC
1996-01-02,2020-04-06,ARNC
1996-01-02,1998-11-24,AS
1996-01-02,1999-06-24,ASC
1996-01-02,2008-11-14,ASH
1996-01-02,2007-11-19,AT
1996-01-02,2015-07-02,ATI
1996-01-02,2015-03-23,AVP
1996-01-02,,AVY
1996-01-02,,AXP
1996-01-02,2001-06-25,AZA-A
1996-01-02,,BA
1996-01-02,,BAC
1996-01-02,,BAX
1996-01-02,1998-01-12,BBI
1996-01-02,2008-06-23,BC
1996-01-02,1996-01-22,BCO
1996-01-02,2017-12-29,BCR
1996-01-02,2010-03-15,BDK
1996-01-02,,BDX
1996-01-02,2014-05-01,BEAM
1996-01-02,1997-12-04,BEV
1996-01-02,,BF-B
1996-01-02,1999-08-02,BFI
1996-01-02,2000-10-03,BFO
1996-01-02,2001-04-03,BGG
1996-01-02,2019-10-18,BHGE
1996-01-02,2000-12-11,BHMSQ
1996-01-02,,BK
1996-01-02,1999-10-01,BKB
1996-01-02,2022-05-10,BLL
1996-01-02,2007-01-03,BLS
1996-01-02,1996-12-19,BLY
1996-01-02,2007-07-12,BMET
1996-01-02,2014-12-05,BMS
1996-01-02,,BMY
1996-01-02,2010-02-16,BNI
1996-01-02,1998-07-01,BNL
1996-01-02,1997-01-07,BOAT
1996-01-02,2007-10-29,BOL
1996-01-02,2006-04-03,BR
1996-01-02,,BSX
1996-01-02,1999-06-04,BT
1996-01-02,2008-11-18,BUD
1996-01-02,,C
1996-01-02,2018-11-06,CA
1996-01-02,,CAG
1996-01-02,1996-07-22,CAL
1996-01-02,2006-08-01,CAR
1996-01-02,,CAT
1996-01-02,,CB
1996-01-02,1998-01-28,CBB
1996-01-02,2009-09-09,CBE
1996-01-02,2019-12-05,CBS
1996-01-02,1996-02-12,CCB
1996-01-02,1998-10-08,CCI
1996-01-02,2000-12-11,CCK
1996-01-02,2008-03-31,CCTYQ
1996-01-02,2012-03-13,CEG
1996-01-02,2001-04-02,CEN
1996-01-02,1998-04-28,CFL
1996-01-02,2000-11-02,CG
1996-01-02,2001-01-30,CGP
1996-01-02,2000-06-19,CHA
1996-01-02,1998-04-08,CHRS
1996-01-02,,CI
1996-01-02,2006-04-03,CIN
1996-01-02,,CL
1996-01-02,,CLX
1996-01-02,2024-06-24,CMA
1996-01-02,1996-04-01,CMB
1996-01-02,,CMCSA
1996-01-02,,CMI
1996-01-02,2000-01-31,CNG
1996-01-02,,CNP
1996-01-02,1996-12-03,CNW
1996-01-02,2000-07-28,COMS
1996-01-02,,COP
1996-01-02,,COST
1996-01-02,1996-08-16,COV
1996-01-02,,CPB
1996-01-02,2002-05-06,CPQ
1996-01-02,2004-12-20,CR
1996-01-02,1997-05-27,CRR
1996-01-02,,CSCO
1996-01-02,2000-06-16,CSR
1996-01-02,,CSX
