leg,variant,description,train_start,train_end,evaluation_start,evaluation_end,n_evaluation_days,cagr,annualized_vol,sharpe_geometric,sharpe_arithmetic,max_drawdown,c,avg_weight,pct_time_levered,annual_turnover,overlay_cost_bps,deflated_sharpe_vs_bh,daily_returns_path,daily_return_column,cash_return_column,daily_returns_manifest_path
index,buy_and_hold,S&P 500 total-return series,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.14927607086071215,0.16928889388456403,0.7636417717329046,0.7873489515029997,0.3369994197617405,,1.0,0.0,0.0,0.0,,reports/vol_managed_control_daily_returns.csv.gz,index__buy_and_hold_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
index,vol_managed_monthly_gross,S&P 500 total-return series,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.13803528729862502,0.1510706458119625,0.7813250990238265,0.7996900679225347,0.21927844908147098,7.259115774124197e-05,1.0568536457854456,0.5823513291312689,3.9198205903159735,0.0,,reports/vol_managed_control_daily_returns.csv.gz,index__vol_managed_monthly_gross_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
index,vol_managed_monthly_net,S&P 500 total-return series,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.13198137526943632,0.1510329189062235,0.7414368740298641,0.764527945329915,0.22036292469015106,7.259115774124197e-05,1.0568536457854456,0.5823513291312689,3.9198205903159735,13.603311103191476,0.06212067470482191,reports/vol_managed_control_daily_returns.csv.gz,index__vol_managed_monthly_net_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
index,vol_managed_daily_gross,S&P 500 total-return series,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.12873414812301842,0.13610533847758827,0.7988970112360662,0.8113033253391913,0.14669708813977722,7.259115774124197e-05,1.0535379919756254,0.5837215675527542,8.024205332331773,0.0,,reports/vol_managed_control_daily_returns.csv.gz,index__vol_managed_daily_gross_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
index,vol_managed_daily_net,S&P 500 total-return series,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.11646756921671542,0.1361068461184422,0.7087635337076865,0.7309805292635733,0.15524820331393785,7.259115774124197e-05,1.0535379919756254,0.5837215675527542,8.024205332331773,13.603311103191476,0.021171113363845973,reports/vol_managed_control_daily_returns.csv.gz,index__vol_managed_daily_net_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_equal_weight,buy_and_hold,Equal-weight point-in-time constituents,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.13821772206464966,0.18266807890487854,0.6471723071342401,0.68942147263476,0.3962694330337877,,1.0,0.0,0.0,0.0,,reports/vol_managed_control_daily_returns.csv.gz,constituents_equal_weight__buy_and_hold_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_equal_weight,vol_managed_monthly_gross,Equal-weight point-in-time constituents,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.09342954724532504,0.1467119851078662,0.5005013543463259,0.546526112842286,0.2737293026441242,6.870592655723641e-05,0.9836528507119822,0.5026034530008221,4.27000156877211,0.0,,reports/vol_managed_control_daily_returns.csv.gz,constituents_equal_weight__vol_managed_monthly_gross_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_equal_weight,vol_managed_monthly_net,Equal-weight point-in-time constituents,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.08649995307068425,0.1467015423602019,0.45330098103129945,0.5032216030981379,0.28366723650520176,6.870592655723641e-05,0.9836528507119822,0.5026034530008221,4.27000156877211,14.8697414338151,0.004961593768372019,reports/vol_managed_control_daily_returns.csv.gz,constituents_equal_weight__vol_managed_monthly_net_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_equal_weight,vol_managed_daily_gross,Equal-weight point-in-time constituents,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.08075916061333865,0.13258442122253658,0.45826772144939504,0.5017971494242738,0.19630697380654893,6.870592655723641e-05,0.9770247703412941,0.5031515483694162,9.059986884911671,0.0,,reports/vol_managed_control_daily_returns.csv.gz,constituents_equal_weight__vol_managed_daily_gross_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_equal_weight,vol_managed_daily_net,Equal-weight point-in-time constituents,1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.06627797889928133,0.13257867819065702,0.3490604939712138,0.4000671925119189,0.21739267144220042,6.870592655723641e-05,0.9770247703412941,0.5031515483694162,9.059986884911671,14.8697414338151,0.0012581642795300718,reports/vol_managed_control_daily_returns.csv.gz,constituents_equal_weight__vol_managed_daily_net_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_sma200,buy_and_hold,"Constituent SMA-200, daily evaluation",1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.10455869216594871,0.15329383179922743,0.5516118370418011,0.5927533832086282,0.31157478202030486,,1.0,0.0,0.0,0.0,,reports/vol_managed_control_daily_returns.csv.gz,constituents_sma200__buy_and_hold_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_sma200,vol_managed_monthly_gross,"Constituent SMA-200, daily evaluation",1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.02022829182215835,0.0009327136820275634,0.24476088059744353,0.3366891597471288,0.000760140392685793,1.6534416604106773e-07,0.0037203124292800897,0.0,0.026804436113771375,0.0,,reports/vol_managed_control_daily_returns.csv.gz,constituents_sma200__vol_managed_monthly_gross_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_sma200,vol_managed_monthly_net,"Constituent SMA-200, daily evaluation",1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.02018755967281316,0.0009314861913962636,0.20135529065869956,0.2665355234295078,0.000760140392685904,1.6534416604106773e-07,0.0037203124292800897,0.0,0.026804436113771375,14.8697414338151,0.0010159167648948753,reports/vol_managed_control_daily_returns.csv.gz,constituents_sma200__vol_managed_monthly_net_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_sma200,vol_managed_daily_gross,"Constituent SMA-200, daily evaluation",1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.020186348068267357,0.0008889759231263876,0.20962105206629192,0.3075571101933878,0.0004020150706909309,1.6534416604106773e-07,0.003672467359290116,0.0,0.07385401994574632,0.0,,reports/vol_managed_control_daily_returns.csv.gz,constituents_sma200__vol_managed_daily_gross_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
constituents_sma200,vol_managed_daily_net,"Constituent SMA-200, daily evaluation",1996-01-02,2010-07-01,2010-07-02,2024-12-31,3649,0.020074131981779653,0.0008891356711936794,0.08337533200094065,0.08250660787055424,0.0004199335299901463,1.6534416604106773e-07,0.003672467359290116,0.0,0.07385401994574632,14.8697414338151,0.0010098798458847424,reports/vol_managed_control_daily_returns.csv.gz,constituents_sma200__vol_managed_daily_net_return,cash_return,reports/vol_managed_control_daily_returns.manifest.json
